order_id,order_date,city,state,sales_channel,store_type,product_category,quantity,unit_price,discount_percent,net_sales_amount,payment_mode,customer_gender,customer_age,sales
ORD1000034,2024-12-11,Bhopal,Madhya Pradesh,Offline,Standalone Store,Sunglasses,2,2780,10,5004.0,Credit Card,Female,45,5560
ORD1000035,2022-09-05,Ranchi,Jharkhand,Offline,Online Only,Eyeglasses,1,4101,20,3280.8,Cash,Male,18,4101
ORD1000036,2025-02-26,Bengaluru,Karnataka,Online,Online Only,Contact Lenses,1,2105,10,1894.5,UPI,Female,30,2105
ORD1000037,2025-07-06,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,1,2081,0,2081.0,Credit Card,Male,25,2081
ORD1000038,2023-03-08,Kochi,Kerala,Online,Online Only,Contact Lenses,3,4547,15,11594.85,Net Banking,Male,59,13641
ORD1000039,2022-02-04,Gurugram,Haryana,Offline,Standalone Store,Eyeglasses,3,4244,5,12095.4,Debit Card,Female,41,12732
ORD1000040,2024-08-11,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,1,4562,5,4333.9,Debit Card,Female,29,4562
ORD1000041,2024-08-19,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,2,4256,15,7235.2,Credit Card,Other,54,8512
ORD1000042,2023-04-15,Lucknow,Uttar Pradesh,Online,Online Only,Contact Lenses,1,3798,0,3798.0,Debit Card,Male,19,3798
ORD1000043,2022-10-02,Trivandrum,Kerala,Offline,High Street Store,Computer Glasses,2,1653,5,3140.7,Debit Card,Female,50,3306
ORD1000044,2024-12-15,Mumbai,Maharashtra,Offline,Online Only,Eyeglasses,1,4273,15,3632.05,Net Banking,Other,61,4273
ORD1000045,2024-05-31,Ahmedabad,Gujarat,Online,Online Only,Computer Glasses,2,2532,5,4810.8,Credit Card,Other,21,5064
ORD1000046,2025-01-11,Mumbai,Maharashtra,Online,Online Only,Computer Glasses,3,1001,5,2852.85,UPI,Male,34,3003
ORD1000047,2024-07-26,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,3,3126,10,8440.2,Net Banking,Female,51,9378
ORD1000048,2024-04-07,Chennai,Tamil Nadu,Online,Online Only,Computer Glasses,2,2729,15,4639.3,Cash,Female,33,5458
ORD1000049,2022-02-27,Pune,Maharashtra,Offline,Online Only,Eyeglasses,1,4071,5,3867.45,UPI,Other,23,4071
ORD1000050,2022-07-16,Noida,Uttar Pradesh,Offline,Online Only,Sunglasses,1,2593,10,2333.7,UPI,Other,53,2593
ORD1000051,2024-03-17,Lucknow,Uttar Pradesh,Offline,High Street Store,Contact Lenses,3,2168,10,5853.6,Cash,Female,36,6504
ORD1000052,2023-04-21,Cuttack,Odisha,Offline,Standalone Store,Sunglasses,3,2642,20,6340.8,Cash,Other,57,7926
ORD1000053,2022-08-17,Pune,Maharashtra,Offline,Online Only,Computer Glasses,3,3184,15,8119.2,Credit Card,Male,28,9552
ORD1000054,2025-08-17,Chennai,Tamil Nadu,Online,Online Only,Sunglasses,1,4860,15,4131.0,Credit Card,Female,24,4860
ORD1000055,2025-05-30,Pune,Maharashtra,Online,Online Only,Computer Glasses,2,1422,10,2559.6,Net Banking,Female,19,2844
ORD1000056,2022-01-09,Bengaluru,Karnataka,Offline,Online Only,Computer Glasses,1,4522,10,4069.8,Credit Card,Female,49,4522
ORD1000057,2022-06-10,Chennai,Tamil Nadu,Offline,High Street Store,Sunglasses,3,2855,5,8136.75,UPI,Female,36,8565
ORD1000058,2023-09-28,Indore,Madhya Pradesh,Online,Online Only,Contact Lenses,3,3990,20,9576.0,Net Banking,Other,28,11970
ORD1000059,2024-07-26,Mumbai,Maharashtra,Offline,Standalone Store,Sunglasses,1,2244,15,1907.4,Debit Card,Other,52,2244
ORD1000060,2025-03-25,Chandigarh,Chandigarh,Offline,Online Only,Contact Lenses,2,897,25,1345.5,UPI,Female,35,1794
ORD1000061,2025-01-24,Hyderabad,Telangana,Online,Online Only,Contact Lenses,2,4576,15,7779.2,Cash,Female,33,9152
ORD1000062,2023-12-23,Faridabad,Haryana,Online,Online Only,Sunglasses,1,4866,15,4136.1,Net Banking,Female,50,4866
ORD1000063,2024-03-22,Jaipur,Rajasthan,Online,Online Only,Sunglasses,2,2099,0,4198.0,Net Banking,Other,25,4198
ORD1000064,2025-05-14,Pune,Maharashtra,Offline,Mall Store,Sunglasses,3,2017,15,5143.35,Debit Card,Male,50,6051
ORD1000065,2023-05-22,Chandigarh,Chandigarh,Offline,Mall Store,Eyeglasses,3,4245,5,12098.25,Cash,Female,47,12735
ORD1000066,2023-12-24,Patna,Bihar,Online,Online Only,Sunglasses,2,4235,10,7623.0,Cash,Female,25,8470
ORD1000067,2023-05-05,Coimbatore,Tamil Nadu,Online,Online Only,Computer Glasses,3,1024,5,2918.4,Cash,Female,50,3072
ORD1000068,2024-02-09,Kolkata,West Bengal,Offline,Online Only,Sunglasses,3,1758,20,4219.2,Net Banking,Other,36,5274
ORD1000069,2025-11-28,Bhubaneswar,Odisha,Offline,Mall Store,Sunglasses,3,3919,0,11757.0,UPI,Other,61,11757
ORD1000070,2023-08-30,Kochi,Kerala,Offline,Mall Store,Eyeglasses,2,3323,5,6313.7,UPI,Male,23,6646
ORD1000071,2022-08-18,Indore,Madhya Pradesh,Offline,Standalone Store,Eyeglasses,3,1859,20,4461.6,Debit Card,Other,63,5577
ORD1000072,2025-01-31,Lucknow,Uttar Pradesh,Offline,Mall Store,Sunglasses,1,1405,25,1053.75,Cash,Female,50,1405
ORD1000073,2025-09-17,Kochi,Kerala,Online,Online Only,Eyeglasses,3,3099,5,8832.15,Cash,Female,40,9297
ORD1000074,2024-01-29,Bhubaneswar,Odisha,Offline,Online Only,Computer Glasses,1,4126,10,3713.4,Credit Card,Other,35,4126
ORD1000075,2023-02-03,Coimbatore,Tamil Nadu,Online,Online Only,Eyeglasses,1,1368,20,1094.4,Net Banking,Female,63,1368
ORD1000076,2023-10-05,Bengaluru,Karnataka,Online,Online Only,Computer Glasses,2,4813,25,7219.5,Credit Card,Male,19,9626
ORD1000077,2025-02-14,Chandigarh,Chandigarh,Online,Online Only,Computer Glasses,3,953,5,2716.05,UPI,Other,43,2859
ORD1000078,2025-07-04,Cuttack,Odisha,Offline,Mall Store,Contact Lenses,1,3974,15,3377.9,UPI,Female,60,3974
ORD1000079,2022-03-23,Faridabad,Haryana,Offline,High Street Store,Eyeglasses,2,3605,10,6489.0,Credit Card,Other,42,7210
ORD1000080,2024-05-13,Mumbai,Maharashtra,Offline,Standalone Store,Sunglasses,1,3749,10,3374.1,UPI,Other,62,3749
ORD1000081,2024-03-07,Faridabad,Haryana,Online,Online Only,Computer Glasses,1,4646,15,3949.1,UPI,Other,33,4646
ORD1000082,2025-08-09,Mumbai,Maharashtra,Offline,Standalone Store,Eyeglasses,2,1770,20,2832.0,Debit Card,Female,32,3540
ORD1000083,2024-10-04,Hyderabad,Telangana,Offline,Mall Store,Computer Glasses,2,3573,15,6074.1,Credit Card,Other,42,7146
ORD1000084,2024-07-30,Faridabad,Haryana,Online,Online Only,Computer Glasses,2,1373,25,2059.5,Debit Card,Other,39,2746
ORD1000085,2025-12-19,Bengaluru,Karnataka,Offline,Online Only,Computer Glasses,2,2514,0,5028.0,Debit Card,Female,32,5028
ORD1000086,2025-01-05,Lucknow,Uttar Pradesh,Offline,Standalone Store,Computer Glasses,2,3290,5,6251.0,Credit Card,Female,25,6580
ORD1000087,2024-06-14,Chandigarh,Chandigarh,Online,Online Only,Sunglasses,1,3850,25,2887.5,Debit Card,Female,56,3850
ORD1000088,2022-03-13,Patna,Bihar,Online,Online Only,Eyeglasses,2,1675,0,3350.0,Credit Card,Female,47,3350
ORD1000089,2025-10-22,Faridabad,Haryana,Online,Online Only,Sunglasses,3,1434,15,3656.7,UPI,Male,36,4302
ORD1000090,2024-08-01,Bhubaneswar,Odisha,Offline,High Street Store,Sunglasses,1,918,5,872.1,Cash,Other,45,918
ORD1000091,2024-01-23,Bhopal,Madhya Pradesh,Offline,Online Only,Eyeglasses,2,2168,0,4336.0,Net Banking,Other,40,4336
ORD1000092,2022-04-07,Indore,Madhya Pradesh,Online,Online Only,Computer Glasses,3,2730,10,7371.0,Credit Card,Male,18,8190
ORD1000093,2022-01-27,Cuttack,Odisha,Online,Online Only,Computer Glasses,3,3648,5,10396.8,UPI,Female,42,10944
ORD1000094,2024-02-25,Hyderabad,Telangana,Online,Online Only,Contact Lenses,1,4142,10,3727.8,Net Banking,Other,22,4142
ORD1000095,2023-03-28,Lucknow,Uttar Pradesh,Offline,Online Only,Computer Glasses,2,3093,0,6186.0,UPI,Other,43,6186
ORD1000096,2023-10-08,Faridabad,Haryana,Offline,High Street Store,Sunglasses,3,3543,5,10097.55,Cash,Female,45,10629
ORD1000097,2023-02-19,Kolkata,West Bengal,Online,Online Only,Sunglasses,1,3917,0,3917.0,Cash,Male,63,3917
ORD1000098,2022-07-03,Chennai,Tamil Nadu,Offline,Mall Store,Sunglasses,2,3858,0,7716.0,Credit Card,Other,33,7716
ORD1000099,2023-08-29,Chandigarh,Chandigarh,Offline,High Street Store,Eyeglasses,2,3278,15,5572.6,Cash,Male,53,6556
ORD1000100,2024-09-19,Lucknow,Uttar Pradesh,Online,Online Only,Contact Lenses,1,2556,10,2300.4,UPI,Other,27,2556
ORD1000101,2024-09-16,Noida,Uttar Pradesh,Offline,High Street Store,Sunglasses,2,3648,5,6931.2,UPI,Female,27,7296
ORD1000102,2025-09-28,Ahmedabad,Gujarat,Offline,Online Only,Contact Lenses,2,4529,10,8152.2,Cash,Other,18,9058
ORD1000103,2024-11-16,Gurugram,Haryana,Online,Online Only,Sunglasses,1,3886,0,3886.0,Net Banking,Female,19,3886
ORD1000104,2022-10-27,Faridabad,Haryana,Online,Online Only,Contact Lenses,1,1694,10,1524.6,Credit Card,Female,37,1694
ORD1000105,2023-03-21,Ahmedabad,Gujarat,Offline,Online Only,Contact Lenses,2,4545,10,8181.0,Credit Card,Male,50,9090
ORD1000106,2022-12-12,Coimbatore,Tamil Nadu,Offline,Mall Store,Sunglasses,1,3537,15,3006.45,UPI,Other,29,3537
ORD1000107,2025-01-10,Bhopal,Madhya Pradesh,Online,Online Only,Eyeglasses,3,4712,5,13429.2,Debit Card,Other,46,14136
ORD1000108,2022-06-06,Bengaluru,Karnataka,Online,Online Only,Eyeglasses,1,4906,0,4906.0,Debit Card,Female,19,4906
ORD1000109,2025-03-05,Trivandrum,Kerala,Offline,Mall Store,Computer Glasses,1,3345,10,3010.5,Credit Card,Female,40,3345
ORD1000110,2023-03-29,Ranchi,Jharkhand,Online,Online Only,Computer Glasses,1,4984,5,4734.8,Debit Card,Other,43,4984
ORD1000111,2023-06-05,Noida,Uttar Pradesh,Offline,Standalone Store,Sunglasses,2,2424,5,4605.6,Debit Card,Female,58,4848
ORD1000112,2024-08-01,Noida,Uttar Pradesh,Online,Online Only,Sunglasses,3,4066,15,10368.3,Debit Card,Male,62,12198
ORD1000113,2025-06-23,Trivandrum,Kerala,Offline,High Street Store,Contact Lenses,3,1211,0,3633.0,Net Banking,Other,42,3633
ORD1000114,2024-08-08,Bengaluru,Karnataka,Online,Online Only,Eyeglasses,1,3607,10,3246.3,UPI,Female,54,3607
ORD1000115,2023-09-28,Bhopal,Madhya Pradesh,Online,Online Only,Sunglasses,1,3766,15,3201.1,Net Banking,Male,52,3766
ORD1000116,2022-09-24,Bengaluru,Karnataka,Online,Online Only,Contact Lenses,2,2942,5,5589.8,Net Banking,Female,49,5884
ORD1000117,2022-05-05,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,1,4650,10,4185.0,Debit Card,Male,30,4650
ORD1000118,2024-02-25,Indore,Madhya Pradesh,Offline,Mall Store,Computer Glasses,3,3713,0,11139.0,Debit Card,Other,34,11139
ORD1000119,2023-02-25,Lucknow,Uttar Pradesh,Online,Online Only,Computer Glasses,1,1394,15,1184.9,UPI,Male,39,1394
ORD1000120,2022-05-18,Ahmedabad,Gujarat,Offline,Standalone Store,Computer Glasses,1,1497,0,1497.0,UPI,Male,53,1497
ORD1000121,2025-06-04,Bhubaneswar,Odisha,Offline,Mall Store,Contact Lenses,1,4970,5,4721.5,Credit Card,Other,45,4970
ORD1000122,2022-11-21,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,2,3581,25,5371.5,Cash,Female,36,7162
ORD1000123,2024-06-04,Indore,Madhya Pradesh,Offline,High Street Store,Eyeglasses,2,942,10,1695.6,Cash,Other,52,1884
ORD1000124,2024-04-03,Indore,Madhya Pradesh,Online,Online Only,Contact Lenses,1,3737,5,3550.15,Net Banking,Male,40,3737
ORD1000125,2023-12-21,Coimbatore,Tamil Nadu,Online,Online Only,Contact Lenses,1,1861,0,1861.0,Debit Card,Other,59,1861
ORD1000126,2022-03-14,Noida,Uttar Pradesh,Online,Online Only,Eyeglasses,2,3781,25,5671.5,Net Banking,Female,22,7562
ORD1000127,2025-09-02,Noida,Uttar Pradesh,Offline,High Street Store,Eyeglasses,3,1531,5,4363.35,Net Banking,Male,35,4593
ORD1000128,2022-07-29,Faridabad,Haryana,Online,Online Only,Contact Lenses,3,1752,10,4730.4,Cash,Other,55,5256
ORD1000129,2022-06-05,Trivandrum,Kerala,Offline,High Street Store,Computer Glasses,3,1990,0,5970.0,UPI,Female,44,5970
ORD1000130,2022-03-06,Hyderabad,Telangana,Online,Online Only,Contact Lenses,2,2016,0,4032.0,Credit Card,Other,54,4032
ORD1000131,2025-11-21,Ahmedabad,Gujarat,Online,Online Only,Computer Glasses,2,3185,10,5733.0,Credit Card,Other,62,6370
ORD1000132,2022-08-27,Chennai,Tamil Nadu,Offline,Standalone Store,Contact Lenses,1,2164,15,1839.4,Debit Card,Other,24,2164
ORD1000133,2023-09-21,Kolkata,West Bengal,Offline,High Street Store,Eyeglasses,1,2123,15,1804.55,Debit Card,Male,23,2123
ORD1000134,2022-01-23,Kolkata,West Bengal,Online,Online Only,Computer Glasses,3,2609,15,6652.95,Credit Card,Other,56,7827
ORD1000135,2022-09-15,Lucknow,Uttar Pradesh,Online,Online Only,Sunglasses,3,1512,20,3628.8,Cash,Female,56,4536
ORD1000136,2023-05-24,Hyderabad,Telangana,Online,Online Only,Sunglasses,2,4321,5,8209.9,Debit Card,Female,45,8642
ORD1000137,2024-10-17,Faridabad,Haryana,Online,Online Only,Sunglasses,2,1880,15,3196.0,UPI,Other,25,3760
ORD1000138,2022-05-03,Coimbatore,Tamil Nadu,Online,Online Only,Sunglasses,1,1693,10,1523.7,Credit Card,Female,18,1693
ORD1000139,2023-10-10,Trivandrum,Kerala,Online,Online Only,Computer Glasses,3,2795,5,7965.75,UPI,Female,42,8385
ORD1000140,2023-07-29,Bhubaneswar,Odisha,Offline,Online Only,Contact Lenses,1,932,15,792.2,Net Banking,Male,62,932
ORD1000141,2022-03-24,Trivandrum,Kerala,Online,Online Only,Sunglasses,1,2651,5,2518.45,Credit Card,Male,33,2651
ORD1000142,2022-09-19,Chennai,Tamil Nadu,Offline,High Street Store,Eyeglasses,2,4083,25,6124.5,Debit Card,Other,54,8166
ORD1000143,2023-05-05,Patna,Bihar,Online,Online Only,Sunglasses,3,4311,10,11639.7,Credit Card,Other,58,12933
ORD1000144,2024-11-10,Pune,Maharashtra,Offline,High Street Store,Computer Glasses,1,4285,25,3213.75,Credit Card,Female,20,4285
ORD1000145,2023-10-19,Hyderabad,Telangana,Offline,High Street Store,Computer Glasses,3,2152,25,4842.0,UPI,Male,25,6456
ORD1000146,2025-12-29,Noida,Uttar Pradesh,Online,Online Only,Contact Lenses,2,3818,0,7636.0,Net Banking,Female,25,7636
ORD1000147,2024-11-11,Cuttack,Odisha,Offline,High Street Store,Contact Lenses,2,4984,5,9469.6,Debit Card,Male,45,9968
ORD1000148,2025-06-06,Indore,Madhya Pradesh,Offline,Mall Store,Contact Lenses,1,4935,5,4688.25,UPI,Male,44,4935
ORD1000149,2022-08-21,Faridabad,Haryana,Online,Online Only,Computer Glasses,2,3307,15,5621.9,Net Banking,Other,46,6614
ORD1000150,2022-05-25,Lucknow,Uttar Pradesh,Online,Online Only,Contact Lenses,1,2380,0,2380.0,Credit Card,Other,23,2380
ORD1000151,2023-07-22,Delhi,Delhi,Offline,High Street Store,Sunglasses,2,1054,10,1897.2,Cash,Male,42,2108
ORD1000152,2022-02-27,Bhubaneswar,Odisha,Online,Online Only,Computer Glasses,2,808,20,1292.8,Cash,Other,62,1616
ORD1000153,2022-09-28,Kochi,Kerala,Online,Online Only,Sunglasses,1,1814,5,1723.3,Net Banking,Female,18,1814
ORD1000154,2024-03-17,Mumbai,Maharashtra,Online,Online Only,Contact Lenses,2,1022,25,1533.0,Debit Card,Other,28,2044
ORD1000155,2022-10-27,Indore,Madhya Pradesh,Offline,High Street Store,Computer Glasses,1,4957,5,4709.15,UPI,Male,44,4957
ORD1000156,2024-02-27,Patna,Bihar,Online,Online Only,Computer Glasses,1,4799,10,4319.1,Credit Card,Other,52,4799
ORD1000157,2022-04-11,Kochi,Kerala,Online,Online Only,Sunglasses,3,1183,0,3549.0,UPI,Female,23,3549
ORD1000158,2022-10-19,Lucknow,Uttar Pradesh,Online,Online Only,Sunglasses,1,3555,25,2666.25,Debit Card,Other,55,3555
ORD1000159,2022-05-21,Bengaluru,Karnataka,Offline,High Street Store,Eyeglasses,3,2259,10,6099.3,Credit Card,Male,54,6777
ORD1000160,2023-03-15,Ahmedabad,Gujarat,Online,Online Only,Contact Lenses,2,4977,5,9456.3,Cash,Female,31,9954
ORD1000161,2025-08-29,Hyderabad,Telangana,Offline,Standalone Store,Sunglasses,1,2847,25,2135.25,Net Banking,Other,30,2847
ORD1000162,2024-02-07,Lucknow,Uttar Pradesh,Online,Online Only,Sunglasses,2,2622,0,5244.0,Credit Card,Other,48,5244
ORD1000163,2025-09-12,Kochi,Kerala,Online,Online Only,Eyeglasses,3,1048,10,2829.6,Debit Card,Female,20,3144
ORD1000164,2025-08-17,Faridabad,Haryana,Offline,Standalone Store,Contact Lenses,3,2783,10,7514.1,UPI,Female,22,8349
ORD1000165,2025-07-31,Coimbatore,Tamil Nadu,Online,Online Only,Sunglasses,2,2647,10,4764.6,Debit Card,Female,64,5294
ORD1000166,2023-06-26,Noida,Uttar Pradesh,Online,Online Only,Computer Glasses,3,4077,15,10396.35,Credit Card,Female,31,12231
ORD1000167,2023-05-16,Bhopal,Madhya Pradesh,Online,Online Only,Sunglasses,2,2921,5,5549.9,Cash,Male,55,5842
ORD1000168,2023-04-23,Patna,Bihar,Online,Online Only,Sunglasses,2,2128,10,3830.4,Cash,Female,47,4256
ORD1000169,2024-05-22,Trivandrum,Kerala,Online,Online Only,Contact Lenses,3,3281,20,7874.4,Debit Card,Male,55,9843
ORD1000170,2024-12-24,Cuttack,Odisha,Online,Online Only,Contact Lenses,1,2157,5,2049.15,Cash,Female,59,2157
ORD1000171,2022-07-13,Gurugram,Haryana,Online,Online Only,Contact Lenses,3,2927,20,7024.8,Debit Card,Male,21,8781
ORD1000172,2022-12-15,Indore,Madhya Pradesh,Online,Online Only,Eyeglasses,2,4271,10,7687.8,Credit Card,Male,37,8542
ORD1000173,2025-12-14,Bengaluru,Karnataka,Online,Online Only,Sunglasses,1,3392,10,3052.8,Debit Card,Male,19,3392
ORD1000174,2022-05-13,Chandigarh,Chandigarh,Offline,Online Only,Sunglasses,1,4617,10,4155.3,Net Banking,Other,28,4617
ORD1000175,2024-07-14,Coimbatore,Tamil Nadu,Online,Online Only,Sunglasses,3,1559,10,4209.3,Credit Card,Other,33,4677
ORD1000176,2022-08-16,Jaipur,Rajasthan,Online,Online Only,Contact Lenses,3,4244,15,10822.2,Debit Card,Female,21,12732
ORD1000177,2024-05-18,Bhubaneswar,Odisha,Online,Online Only,Computer Glasses,1,4065,20,3252.0,Net Banking,Other,44,4065
ORD1000178,2025-12-05,Jaipur,Rajasthan,Online,Online Only,Eyeglasses,1,1470,0,1470.0,Credit Card,Male,36,1470
ORD1000179,2024-02-07,Noida,Uttar Pradesh,Online,Online Only,Contact Lenses,1,4699,0,4699.0,Debit Card,Female,23,4699
ORD1000180,2023-08-20,Kochi,Kerala,Offline,High Street Store,Sunglasses,1,1322,5,1255.9,Net Banking,Other,51,1322
ORD1000181,2023-01-31,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,1,2552,15,2169.2,UPI,Male,26,2552
ORD1000182,2025-02-25,Kochi,Kerala,Online,Online Only,Computer Glasses,2,3095,10,5571.0,Cash,Female,39,6190
ORD1000183,2022-07-13,Cuttack,Odisha,Offline,Online Only,Sunglasses,3,3677,5,10479.45,UPI,Other,34,11031
ORD1000184,2024-02-25,Indore,Madhya Pradesh,Online,Online Only,Computer Glasses,2,2854,15,4851.8,Cash,Female,32,5708
ORD1000185,2024-10-22,Delhi,Delhi,Online,Online Only,Eyeglasses,3,1437,20,3448.8,Debit Card,Male,31,4311
ORD1000186,2025-09-25,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,2,4922,5,9351.8,Credit Card,Other,41,9844
ORD1000187,2023-07-02,Pune,Maharashtra,Offline,Standalone Store,Contact Lenses,2,1163,0,2326.0,UPI,Other,24,2326
ORD1000188,2025-02-04,Indore,Madhya Pradesh,Online,Online Only,Contact Lenses,3,2445,15,6234.75,Cash,Male,60,7335
ORD1000189,2023-07-07,Kochi,Kerala,Online,Online Only,Eyeglasses,3,2330,0,6990.0,Debit Card,Female,55,6990
ORD1000190,2025-03-29,Cuttack,Odisha,Offline,Online Only,Computer Glasses,3,2705,5,7709.25,Credit Card,Male,42,8115
ORD1000191,2024-06-05,Coimbatore,Tamil Nadu,Offline,High Street Store,Computer Glasses,3,2874,0,8622.0,Credit Card,Male,34,8622
ORD1000192,2025-06-12,Chennai,Tamil Nadu,Offline,Standalone Store,Sunglasses,3,924,0,2772.0,Credit Card,Other,34,2772
ORD1000193,2023-12-09,Coimbatore,Tamil Nadu,Online,Online Only,Contact Lenses,1,4082,10,3673.8,Cash,Male,27,4082
ORD1000194,2022-03-30,Cuttack,Odisha,Online,Online Only,Computer Glasses,3,1031,10,2783.7,Debit Card,Male,64,3093
ORD1000195,2022-02-13,Hyderabad,Telangana,Online,Online Only,Eyeglasses,3,2292,10,6188.4,Net Banking,Male,25,6876
ORD1000196,2025-10-28,Coimbatore,Tamil Nadu,Online,Online Only,Computer Glasses,1,3271,5,3107.45,Credit Card,Female,43,3271
ORD1000197,2023-05-01,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,2,4313,5,8194.7,UPI,Male,62,8626
ORD1000198,2024-02-26,Chandigarh,Chandigarh,Online,Online Only,Computer Glasses,2,4611,20,7377.6,Debit Card,Female,39,9222
ORD1000199,2022-01-24,Indore,Madhya Pradesh,Offline,Standalone Store,Computer Glasses,1,2532,5,2405.4,Credit Card,Male,21,2532
ORD1000200,2023-11-04,Bhubaneswar,Odisha,Offline,High Street Store,Contact Lenses,2,4316,5,8200.4,Debit Card,Other,48,8632
